Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available,geometry,koppen_color_id,#_yr_data,circle_size,filename
US-ICt,Imnavait Creek Watershed Tussock Tundra,Syndonia Bret-Harte (msbretharte@alaska.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,318.0,-7.4,USA,68.6063,-149.3041,930.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246131,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881583,2007,,"CO2, FC, FCH4, G, GPP, H, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-149.3041 68.6063),29,15.0,45,AMF_US-ICt_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
US-Wjs,Willard Juniper Savannah,Marcy Litvak (mlitvak@unm.edu),CC-BY-4.0,Yes,Yes,SAV,"Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 10-30%. The forest cover height exceeds 2 meters.",Bsk,Steppe: warm winter,361.0,15.2,USA,34.4255,-105.8615,1931.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246120,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1871146,2007,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,POINT (-105.8615 34.4255),7,15.0,45,AMF_US-Wjs_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
CA-Ca1,British Columbia - 1949 Douglas-fir stand,T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1369.0,9.93,Canada,49.8673,-125.3336,300.0,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1480300,"1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007163,1997,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_BC_IN, PPFD_DIF, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS",,POINT (-125.3336 49.8673),15,15.0,45,AMF_CA-Ca1_FLUXNET_FULLSET_HH_1996-2010_3-5.csv
US-Seg,Sevilleta grassland,Marcy Litvak (mlitvak@unm.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,Steppe: warm winter,273.30400000000003,13.667,USA,34.3623,-106.702,1596.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246124,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1984572,2007,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,POINT (-106.702 34.3623),7,15.0,45,AMF_US-Seg_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
US-Ses,Sevilleta shrubland,Marcy Litvak (mlitvak@unm.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,275.082,13.722000000000001,USA,34.3349,-106.7442,1604.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246125,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1984573,2007,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,POINT (-106.7442 34.3349),7,15.0,45,AMF_US-Ses_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
US-ICh,Imnavait Creek Watershed Heath Tundra,Syndonia Bret-Harte (msbretharte@alaska.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,318.0,-7.4,USA,68.6068,-149.2958,940.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1246133,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2007175,2007,,"CO2, D_SNOW, FC, FCH4, G, GPP, H, H2O, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-149.2958 68.60680000000001),29,15.0,45,AMF_US-ICh_FLUXNET_FULLSET_HH_2007-2021_3-5.csv
CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand ,Thomas Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csa,"Mediterranean: mild with dry, hot summer",570.0,2.0,Canada,55.1119,-122.8414,751.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1660337,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832155,2007,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, WD, WS",,POINT (-122.8414 55.1119),8,14.0,20,AMF_CA-LP1_FLUXNET_FULLSET_HH_2007-2020_3-5.csv
US-SRG,Santa Rita Grassland,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Bsk,Steppe: warm winter,420.0,17.0,USA,31.7894,-110.8277,1291.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246154,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204877,2008,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, USTAR, WD, WS",,POINT (-110.8277 31.7894),7,14.0,20,AMF_US-SRG_FLUXNET_FULLSET_HH_2008-2021_3-5.csv
US-Rpf,Poker Flat Research Range: Succession from fire scar to deciduous forest,Yoshinobu Harazono (harazono2009gl@gmail.com),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dwc,"Subarctic: severe, dry winter, cool summer ",450.0,-0.8,USA,65.1198,-147.429,497.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1579540,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2229388,2008,,"CO2, D_SNOW, FC, FETCH_80, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,POINT (-147.429 65.1198),23,14.0,20,AMF_US-Rpf_FLUXNET_FULLSET_HH_2008-2021_3-5.csv
US-ICs,Imnavait Creek Watershed Wet Sedge Tundra,Syndonia Bret-Harte (msbretharte@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",ET,Tundra,318.0,-7.4,USA,68.6058,-149.311,920.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246130,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871138,2007,,"CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-149.311 68.6058),29,14.0,20,AMF_US-ICs_FLUXNET_FULLSET_HH_2007-2020_3-5.csv
US-Whs,Walnut Gulch Lucky Hills Shrub,Russell Scott (russ.scott@ars.usda.gov),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bsk,Steppe: warm winter,320.0,17.6,USA,31.7438,-110.0522,1370.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246113,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1984574,2007,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, T_SONIC, USTAR, WD, WS",,POINT (-110.0522 31.7438),7,14.0,20,AMF_US-Whs_FLUXNET_FULLSET_HH_2007-2020_3-5.csv
US-NC4,NC_AlligatorRiver,John King (john_king@ncsu.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1311.0,16.6,USA,35.7879,-75.9038,1.0,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1480314,"2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1902837,2009,,"CH4, CO2, FC, FCH4, G, H, H2O, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_IN, RH, SC, SH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WS_MAX, WTD, ZL",,POINT (-75.9038 35.7879),14,13.0,20,AMF_US-NC4_FLUXNET_FULLSET_HH_2009-2021_3-5.csv
US-KFS,Kansas Field Station,Nathaniel Brunsell (brunsell@ku.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Cfa,"Humid Subtropical: mild with no dry season, hot summer",1014.0,12.0,USA,39.0561,-95.1907,310.0,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1246132,"2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019",https://doi.org/10.17190/AMF/1881585,2007,,"CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PBLH, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, TS, USTAR, VPD, WD, WS, ZL",,POINT (-95.19070000000001 39.0561),14,13.0,20,AMF_US-KFS_FLUXNET_FULLSET_HH_2007-2019_3-5.csv
US-EML,"Eight Mile Lake Permafrost thaw gradient, Healy Alaska.",Ted Schuur (ted.Schuur@nau.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,ET,Tundra,378.0,-1.0,USA,63.8784,-149.2536,662.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1418678,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/2007170,2008,,"ALB, CH4, CO2, D_SNOW, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, PA, PPFD_IN, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-149.2536 63.8784),29,13.0,20,AMF_US-EML_FLUXNET_FULLSET_HH_2008-2020_3-5.csv
US-Ro1,Rosemount- G21,Timothy Griffis (tgriffis@umn.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",879.0,6.4,USA,44.7143,-93.0898,290.0,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1246092,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1881588,2003,2017.0,"ALB, CO2, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_CANOPY, TS, USTAR, VPD, WD, WS, ZL",,POINT (-93.0898 44.7143),25,13.0,20,AMF_US-Ro1_FLUXNET_FULLSET_HH_2004-2016_3-5.csv
US-Mpj,Mountainair Pinyon-Juniper Woodland,Marcy Litvak (mlitvak@unm.edu),CC-BY-4.0,Yes,Yes,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Bsk,Steppe: warm winter,385.0,10.5,USA,34.4385,-106.2377,2196.0,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246123,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1832161,2007,,"CO2, FC, H, H2O, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, RH, SW_IN, SW_OUT, TA, USTAR, VPD, WD, WS",,POINT (-106.2377 34.4385),7,13.0,20,AMF_US-Mpj_FLUXNET_FULLSET_HH_2008-2020_3-5.csv
US-BZS,Bonanza Creek Black Spruce,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274.0,-2.4,USA,64.6963,-148.3235,100.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1756434,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881572,2010,,"CH4, CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-148.3235 64.69629999999999),28,12.0,20,AMF_US-BZS_FLUXNET_FULLSET_HH_2010-2021_3-5.csv
US-Me6,Metolius Young Pine Burn,Chris Still (chris.still@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",494.0,7.59,USA,44.3233,-121.6078,998.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246128,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204871,2010,,"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,POINT (-121.6078 44.3233),9,12.0,20,AMF_US-Me6_FLUXNET_FULLSET_HH_2010-2021_3-5.csv
US-Myb,Mayberry Wetland,Dennis Baldocchi (baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Csa,"Mediterranean: mild with dry, hot summer",338.0,15.9,USA,38.0499,-121.765,-4.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1246139,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1871139,2010,,"CH4, CO2, COND_WATER, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, GPP, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, MO_LENGTH, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SPEC_NIR_IN, SPEC_NIR_OUT, SPEC_RED_IN, SPEC_RED_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,POINT (-121.765 38.0499),8,12.0,20,AMF_US-Myb_FLUXNET_FULLSET_HH_2010-2021_3-5.csv
CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),T. Andrew Black (andrew.black@ubc.ca),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Cfb,"Marine West Coast: mild with no dry season, warm summer",1474.0,9.86,Canada,49.8705,-125.2909,300.0,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/1480301,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010",https://doi.org/10.17190/AMF/2007164,2000,,"CO2, FC, G, GPP, H, H2O, LE, NEE, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RECO, RH, SB, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, USTAR, WD, WS",,POINT (-125.2909 49.8705),15,12.0,20,AMF_CA-Ca2_FLUXNET_FULLSET_HH_1999-2010_3-5.csv
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",Harry McCaughey (mccaughe@queensu.ca),CC-BY-4.0,Yes,Yes,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,831.0,1.3,Canada,48.2167,-82.1556,340.0,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1245996,"2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014",https://doi.org/10.17190/AMF/1902823,2003,,"CO2, FC, G, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, PPFD_OUT, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-82.15560000000001 48.2167),26,12.0,20,AMF_CA-Gro_FLUXNET_FULLSET_HH_2003-2014_3-5.csv
US-BZB,Bonanza Creek Thermokarst Bog,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274.0,-2.4,USA,64.6955,-148.3208,100.0,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1773401,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881569,2011,,"CH4, CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-148.3208 64.6955),28,11.0,20,AMF_US-BZB_FLUXNET_FULLSET_HH_2011-2021_3-5.csv
US-BZF,Bonanza Creek Rich Fen,Eugenie Euskirchen (seeuskirchen@alaska.edu),CC-BY-4.0,Yes,Yes,WET,"Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water",Dfd,"Subarctic: severe, very cold winter, no dry season, cool summer",274.0,-2.4,USA,64.7013,-148.3121,95.0,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1756433,"2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1881570,2011,,"CH4, CO2, D_SNOW, FC, FCH4, G, GPP, H, LE, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RECO, RH, SG, SWC, SW_IN, SW_OUT, TA, TS, USTAR, VPD, WD, WS",,POINT (-148.3121 64.7013),28,11.0,20,AMF_US-BZF_FLUXNET_FULLSET_HH_2011-2021_3-5.csv
US-Jo1,Jornada Experimental Range Bajada Site,Craig Tweedie (ctweedie@utep.edu),CC-BY-4.0,Yes,Yes,OSH,Open Shrublands: Lands with woody vegetation less than 2 meters tall and with shrub canopy cover between 10-60%. The shrub foliage can be either evergreen or deciduous.,Bwk,Desert: very cold winter,245.1,14.7,USA,32.582,-106.635,1188.0,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1767833,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1902833,2010,,"CH4, CH4_MIXING_RATIO, CO2, CO2_MIXING_RATIO, FC, FCH4, FCH4_SSITC_TEST, FC_SSITC_TEST, FETCH_70, FETCH_80, FETCH_90, FETCH_MAX, FH2O, G, H, H2O, H2O_MIXING_RATIO, H_SSITC_TEST, LE, LEAF_WET, LE_SSITC_TEST, LW_IN, LW_OUT, MO_LENGTH, NETRAD, PA, PPFD_IN, PPFD_OUT, P_RAIN, RH, SWC, SW_IN, SW_OUT, TA, TAU, TAU_SSITC_TEST, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WD_SIGMA, WS, W_SIGMA, WS_MAX, ZL",,POINT (-106.635 32.582),5,11.0,20,AMF_US-Jo1_FLUXNET_FULLSET_HH_2010-2020_3-5.csv
